,precision,recall,f1-score,support
bashlite,0.9873417721518988,1.0,0.9936305732484076,312.0
encoder,0.7658227848101266,0.7515527950310559,0.7586206896551724,161.0
gonnacry,1.0,1.0,1.0,301.0
goodware,1.0,0.996875,0.9984350547730829,320.0
kisni,0.6630434782608695,0.3885350318471338,0.4899598393574297,157.0
mak,0.7584269662921348,0.9121621621621622,0.8282208588957055,148.0
mirai,0.9965753424657534,1.0,0.9982847341337907,291.0
snoopy,0.6144578313253012,0.6455696202531646,0.6296296296296297,158.0
wirenet,0.5246913580246914,0.625,0.5704697986577181,136.0
accuracy,0.8704637096774194,0.8704637096774194,0.8704637096774194,0.8704637096774194
macro avg,0.8122621703700861,0.8132994010326129,0.807472353150104,1984.0
weighted avg,0.8705337223096297,0.8704637096774194,0.8667925912514706,1984.0
