,precision,recall,f1-score,support
bashlite,0.6379690949227373,0.9262820512820513,0.7555555555555555,312.0
encoder,0.25757575757575757,0.2111801242236025,0.23208191126279865,161.0
gonnacry,1.0,0.9933554817275747,0.9966666666666667,301.0
goodware,0.803921568627451,0.76875,0.7859424920127795,320.0
kisni,0.25301204819277107,0.1337579617834395,0.175,157.0
mak,0.20121951219512196,0.22297297297297297,0.21153846153846154,148.0
mirai,0.6971608832807571,0.7594501718213058,0.7269736842105263,291.0
snoopy,0.22115384615384615,0.14556962025316456,0.17557251908396945,158.0
wirenet,0.21428571428571427,0.19852941176470587,0.20610687022900764,136.0
accuracy,0.6013104838709677,0.6013104838709677,0.6013104838709677,0.6013104838709677
macro avg,0.47625538058157296,0.4844275328698686,0.47393757339552955,1984.0
weighted avg,0.5721942125944474,0.6013104838709677,0.5799898245649031,1984.0
