,precision,recall,f1-score,support
bashlite,0.6564705882352941,0.8942307692307693,0.757123473541384,312.0
encoder,0.23931623931623933,0.17391304347826086,0.2014388489208633,161.0
gonnacry,1.0,0.9900332225913622,0.994991652754591,301.0
goodware,0.7343283582089553,0.76875,0.751145038167939,320.0
kisni,0.2153846153846154,0.17834394904458598,0.1951219512195122,157.0
mak,0.18867924528301888,0.20270270270270271,0.19543973941368079,148.0
mirai,0.676056338028169,0.6597938144329897,0.6678260869565218,291.0
snoopy,0.19008264462809918,0.14556962025316456,0.16487455197132617,158.0
wirenet,0.2,0.16911764705882354,0.18326693227091634,136.0
accuracy,0.578125,0.578125,0.578125,0.578125
macro avg,0.4555908921204879,0.46471719653251764,0.45680314169074826,1984.0
weighted avg,0.5519350694661795,0.578125,0.561181541932154,1984.0
