,precision,recall,f1-score,support
bashlite,0.6417233560090703,0.907051282051282,0.751660026560425,312.0
encoder,0.2803738317757009,0.18633540372670807,0.22388059701492538,161.0
gonnacry,0.9933554817275747,0.9933554817275747,0.9933554817275747,301.0
goodware,0.782051282051282,0.7625,0.7721518987341772,320.0
kisni,0.1917808219178082,0.17834394904458598,0.1848184818481848,157.0
mak,0.20394736842105263,0.20945945945945946,0.20666666666666667,148.0
mirai,0.6826923076923077,0.7319587628865979,0.7064676616915423,291.0
snoopy,0.2616822429906542,0.17721518987341772,0.21132075471698114,158.0
wirenet,0.19811320754716982,0.15441176470588236,0.17355371900826447,136.0
accuracy,0.5932459677419355,0.5932459677419355,0.5932459677419355,0.5932459677419355
macro avg,0.47063554445918004,0.47784792149727867,0.46931947644097133,1984.0
weighted avg,0.5654539999858568,0.5932459677419355,0.5740063280749343,1984.0
