,precision,recall,f1-score,support
bashlite,0.9968051118210862,1.0,0.9984,312.0
encoder,0.8071428571428572,0.7018633540372671,0.7508305647840531,161.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9937888198757764,1.0,0.9968847352024921,320.0
kisni,0.6818181818181818,0.3821656050955414,0.489795918367347,157.0
mak,0.8175675675675675,0.8175675675675675,0.8175675675675675,148.0
mirai,1.0,0.993127147766323,0.996551724137931,291.0
snoopy,0.5631067961165048,0.7341772151898734,0.6373626373626373,158.0
wirenet,0.4632768361581921,0.6029411764705882,0.523961661341853,136.0
accuracy,0.8639112903225806,0.8639112903225806,0.8639112903225806,0.8639112903225806
macro avg,0.8137229078333517,0.8035380073474623,0.8012616454182091,1984.0
weighted avg,0.8724735863396189,0.8639112903225806,0.8630263254781404,1984.0
