,precision,recall,f1-score,support
bashlite,0.9968051118210862,1.0,0.9984,312.0
encoder,0.793939393939394,0.8136645962732919,0.8036809815950922,161.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9302325581395349,1.0,0.963855421686747,320.0
kisni,0.36363636363636365,0.20382165605095542,0.2612244897959184,157.0
mak,0.6973684210526315,0.7162162162162162,0.7066666666666668,148.0
mirai,1.0,0.9175257731958762,0.956989247311828,291.0
snoopy,0.609271523178808,0.5822784810126582,0.5954692556634305,158.0
wirenet,0.39901477832512317,0.5955882352941176,0.4778761061946903,136.0
accuracy,0.8276209677419355,0.8276209677419355,0.8276209677419355,0.8276209677419355
macro avg,0.7544742388992156,0.7587883286714573,0.7515735743238192,1984.0
weighted avg,0.8262773194749191,0.8276209677419355,0.8233292582390306,1984.0
