,precision,recall,f1-score,support
bashlite,0.9,0.9,0.9,300.0
encoder,0.22282608695652173,0.26282051282051283,0.2411764705882353,156.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.8962264150943396,0.8934169278996865,0.8948194662480377,319.0
kisni,0.19078947368421054,0.18471337579617833,0.18770226537216828,157.0
mak,0.256,0.20125786163522014,0.22535211267605634,159.0
mirai,0.8601398601398601,0.8754448398576512,0.8677248677248677,281.0
snoopy,0.17901234567901234,0.18354430379746836,0.18125000000000002,158.0
wirenet,0.16666666666666666,0.16993464052287582,0.16828478964401292,153.0
accuracy,0.6345766129032258,0.6345766129032258,0.6345766129032258,0.6345766129032258
macro avg,0.519073427580068,0.5190147180366215,0.5184788858059309,1984.0
weighted avg,0.6339709146498576,0.6345766129032258,0.6338643857711864,1984.0
