,precision,recall,f1-score,support
bashlite,0.8878504672897196,0.95,0.9178743961352657,300.0
encoder,0.20930232558139536,0.23076923076923078,0.21951219512195125,156.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9096774193548387,0.8840125391849529,0.8966613672496025,319.0
kisni,0.2108843537414966,0.19745222929936307,0.20394736842105263,157.0
mak,0.20408163265306123,0.18867924528301888,0.19607843137254904,159.0
mirai,0.8508474576271187,0.8932384341637011,0.8715277777777778,281.0
snoopy,0.1891891891891892,0.17721518987341772,0.1830065359477124,158.0
wirenet,0.16783216783216784,0.1568627450980392,0.16216216216216217,153.0
accuracy,0.6391129032258065,0.6391129032258065,0.6391129032258065,0.6391129032258065
macro avg,0.5144072236965541,0.5198032904079694,0.5167522482431193,1984.0
weighted avg,0.6302467601030709,0.6391129032258065,0.6343057227362262,1984.0
