,precision,recall,f1-score,support
bashlite,0.8823529411764706,0.95,0.9149277688603531,300.0
encoder,0.22981366459627328,0.23717948717948717,0.2334384858044164,156.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9052287581699346,0.8683385579937304,0.8864,319.0
kisni,0.19205298013245034,0.18471337579617833,0.1883116883116883,157.0
mak,0.22666666666666666,0.2138364779874214,0.22006472491909385,159.0
mirai,0.8322147651006712,0.8825622775800712,0.8566493955094993,281.0
snoopy,0.18,0.17088607594936708,0.17532467532467533,158.0
wirenet,0.1597222222222222,0.1503267973856209,0.15488215488215484,153.0
accuracy,0.6355846774193549,0.6355846774193549,0.6355846774193549,0.6355846774193549
macro avg,0.5120057775627432,0.5175381166524307,0.5144443215124312,1984.0
weighted avg,0.6266365699396432,0.6355846774193549,0.6307098333201127,1984.0
