,precision,recall,f1-score,support
bashlite,1.0,1.0,1.0,312.0
encoder,0.7374301675977654,0.8198757763975155,0.7764705882352941,161.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9968847352024922,1.0,0.9984399375975039,320.0
kisni,0.5765765765765766,0.40764331210191085,0.47761194029850745,157.0
mak,0.6956521739130435,0.8648648648648649,0.7710843373493976,148.0
mirai,1.0,0.9965635738831615,0.9982788296041308,291.0
snoopy,0.71900826446281,0.5506329113924051,0.6236559139784946,158.0
wirenet,0.509090909090909,0.6176470588235294,0.5581395348837209,136.0
accuracy,0.8659274193548387,0.8659274193548387,0.8659274193548387,0.8659274193548387
macro avg,0.8038492029826219,0.8063586108292653,0.8004090091052277,1984.0
weighted avg,0.8659516562153117,0.8659274193548387,0.8626823850097028,1984.0
