,precision,recall,f1-score,support
bashlite,1.0,0.9967948717948718,0.9983948635634029,312.0
encoder,0.8285714285714286,0.7204968944099379,0.770764119601329,161.0
 gonnacry ,1.0,1.0,1.0,301.0
 goodware ,0.9815384615384616,0.996875,0.9891472868217054,320.0
kisni,0.33714285714285713,0.37579617834394907,0.35542168674698793,157.0
mak,0.696078431372549,0.4797297297297297,0.568,148.0
mirai,0.9965034965034965,0.979381443298969,0.9878682842287695,291.0
snoopy,0.5905511811023622,0.47468354430379744,0.5263157894736842,158.0
wirenet,0.34101382488479265,0.5441176470588235,0.4192634560906516,136.0
accuracy,0.8119959677419355,0.8119959677419355,0.8119959677419355,0.8119959677419355
macro avg,0.7523777423462165,0.7297639232155642,0.7350194985029479,1984.0
weighted avg,0.8296929578568025,0.8119959677419355,0.816850782643932,1984.0
