,precision,recall,f1-score,support
bashlite,0.8980263157894737,0.91,0.9039735099337748,300.0
encoder,0.22777777777777777,0.2645161290322581,0.24477611940298508,155.0
 gonnacry ,1.0,1.0,1.0,302.0
 goodware ,0.8934169278996865,0.8934169278996865,0.8934169278996865,319.0
kisni,0.19333333333333333,0.18471337579617833,0.18892508143322476,157.0
mak,0.25984251968503935,0.20754716981132076,0.23076923076923078,159.0
mirai,0.8596491228070176,0.8718861209964412,0.8657243816254417,281.0
snoopy,0.17682926829268292,0.18354430379746836,0.18012422360248448,158.0
wirenet,0.16993464052287582,0.16993464052287582,0.16993464052287582,153.0
accuracy,0.6365927419354839,0.6365927419354839,0.6365927419354839,0.6365927419354839
macro avg,0.5198677673453208,0.5206176297618033,0.5197382350210783,1984.0
weighted avg,0.6345172238682802,0.6365927419354839,0.6351885461345065,1984.0
