,precision,recall,f1-score,support
bashlite,0.8885448916408669,0.9566666666666667,0.9213483146067416,300.0
encoder,0.19186046511627908,0.2129032258064516,0.2018348623853211,155.0
 gonnacry ,1.0,1.0,1.0,302.0
 goodware ,0.9022801302931596,0.8683385579937304,0.8849840255591054,319.0
kisni,0.19205298013245034,0.18471337579617833,0.18831168831168832,157.0
mak,0.2196969696969697,0.18238993710691823,0.19931271477663232,159.0
mirai,0.8389261744966443,0.8896797153024911,0.8635578583765112,281.0
snoopy,0.19463087248322147,0.18354430379746836,0.18892508143322476,158.0
wirenet,0.16,0.1568627450980392,0.15841584158415842,153.0
accuracy,0.6350806451612904,0.6350806451612904,0.6350806451612904,0.6350806451612904
macro avg,0.5097769426510657,0.5150109475075494,0.5118544874481538,1984.0
weighted avg,0.6261004385571171,0.6350806451612904,0.6300413325363644,1984.0
