,precision,recall,f1-score,support
bashlite,0.88,0.9533333333333334,0.9152,300.0
encoder,0.2389937106918239,0.24516129032258063,0.24203821656050956,155.0
 gonnacry ,1.0,1.0,1.0,302.0
 goodware ,0.9078947368421053,0.8652037617554859,0.8860353130016051,319.0
kisni,0.18831168831168832,0.18471337579617833,0.1864951768488746,157.0
mak,0.22448979591836735,0.20754716981132076,0.21568627450980393,159.0
mirai,0.83,0.8861209964412812,0.8571428571428571,281.0
snoopy,0.18,0.17088607594936708,0.17532467532467533,158.0
wirenet,0.15384615384615385,0.1437908496732026,0.14864864864864866,153.0
accuracy,0.6360887096774194,0.6360887096774194,0.6360887096774194,0.6360887096774194
macro avg,0.5115040095122377,0.5174174281203056,0.5140634624485526,1984.0
weighted avg,0.6265774800223192,0.6360887096774194,0.6308451278368992,1984.0
