,precision,recall,f1-score,support
bashlite,0.8949044585987261,0.9366666666666666,0.9153094462540716,300.0
encoder,0.23780487804878048,0.25161290322580643,0.2445141065830721,155.0
 gonnacry ,0.9901639344262295,1.0,0.9950576606260296,302.0
 goodware ,0.8949044585987261,0.8808777429467085,0.8878357030015798,319.0
kisni,0.2112676056338028,0.1910828025477707,0.20066889632107024,157.0
mak,0.2671232876712329,0.24528301886792453,0.25573770491803277,159.0
mirai,0.8368055555555556,0.8576512455516014,0.8471001757469244,281.0
snoopy,0.2085889570552147,0.21518987341772153,0.2118380062305296,158.0
wirenet,0.14864864864864866,0.1437908496732026,0.1461794019933555,153.0
accuracy,0.639616935483871,0.639616935483871,0.639616935483871,0.639616935483871
macro avg,0.5211346426929907,0.5246839003219336,0.5226934557416295,1984.0
weighted avg,0.6332255043146197,0.639616935483871,0.6362186682670518,1984.0
