,precision,recall,f1-score,support
bashlite,1.00000,0.99679,0.99839,312.00000
encoder,0.77381,0.80745,0.79027,161.00000
gonnacry,1.00000,1.00000,1.00000,301.00000
goodware,0.99377,0.99687,0.99532,320.00000
kisni,0.49180,0.57325,0.52941,157.00000
mak,0.75591,0.64865,0.69818,148.00000
mirai,0.99655,0.99313,0.99484,291.00000
snoopy,0.69231,0.56962,0.62500,158.00000
wirenet,0.50980,0.57353,0.53979,136.00000
accuracy,0.85887,0.85887,0.85887,0.85887
macro avg,0.80155,0.79548,0.79680,1984.00000
weighted avg,0.86360,0.85887,0.86005,1984.00000
