,precision,recall,f1-score,support
bashlite,0.94408,0.91987,0.93182,312.00000
encoder,0.34524,0.18012,0.23673,161.00000
gonnacry,0.99340,1.00000,0.99669,301.00000
goodware,0.63030,0.65000,0.64000,320.00000
kisni,0.20321,0.24204,0.22093,157.00000
mak,0.33663,0.22973,0.27309,148.00000
mirai,0.58586,0.59794,0.59184,291.00000
snoopy,0.24490,0.30380,0.27119,158.00000
wirenet,0.19780,0.26471,0.22642,136.00000
accuracy,0.58216,0.58216,0.58216,0.58216
macro avg,0.49794,0.48758,0.48763,1984.00000
weighted avg,0.58904,0.58216,0.58196,1984.00000
