,precision,recall,f1-score,support
bashlite,1.0,0.9967948717948718,0.9983948635634029,312.0
encoder,0.7668711656441718,0.7763975155279503,0.7716049382716049,161.0
gonnacry,1.0,1.0,1.0,301.0
goodware,0.9906832298136646,0.996875,0.9937694704049844,320.0
kisni,0.40397350993377484,0.3885350318471338,0.3961038961038961,157.0
mak,0.6901408450704225,0.6621621621621622,0.6758620689655173,148.0
mirai,0.993103448275862,0.9896907216494846,0.9913941480206541,291.0
snoopy,0.6258503401360545,0.5822784810126582,0.6032786885245902,158.0
wirenet,0.35668789808917195,0.4117647058823529,0.3822525597269625,136.0
accuracy,0.8321572580645161,0.8321572580645161,0.8321572580645161,0.8321572580645161
macro avg,0.7585900485514581,0.7560553877640682,0.7569622926201792,1984.0
weighted avg,0.8343934418694603,0.8321572580645161,0.8330392131562883,1984.0
