,precision,recall,f1-score,support
bashlite,1.00000,0.99679,0.99839,312.00000
encoder,0.84314,0.80124,0.82166,161.00000
 gonnacry ,1.00000,1.00000,1.00000,301.00000
 goodware ,1.00000,0.99687,0.99844,320.00000
kisni,0.60309,0.74522,0.66667,157.00000
mak,0.82517,0.79730,0.81100,148.00000
mirai,0.99658,1.00000,0.99828,291.00000
snoopy,0.75776,0.77215,0.76489,158.00000
wirenet,0.74545,0.60294,0.66667,136.00000
accuracy,0.90222,0.90222,0.90222,0.90222
macro avg,0.86347,0.85695,0.85844,1984.00000
weighted avg,0.90558,0.90222,0.90272,1984.00000
