,precision,recall,f1-score,support
bashlite,0.8940809968847352,0.9566666666666667,0.9243156199677939,300.0
encoder,0.22033898305084745,0.25161290322580643,0.23493975903614459,155.0
 gonnacry ,1.0,1.0,1.0,302.0
 goodware ,0.8996763754045307,0.8714733542319749,0.8853503184713375,319.0
kisni,0.2158273381294964,0.1910828025477707,0.2027027027027027,157.0
mak,0.2206896551724138,0.20125786163522014,0.21052631578947367,159.0
mirai,0.8372881355932204,0.8790035587188612,0.8576388888888888,281.0
snoopy,0.18543046357615894,0.17721518987341772,0.18122977346278318,158.0
wirenet,0.15862068965517243,0.1503267973856209,0.15436241610738255,153.0
accuracy,0.6381048387096774,0.6381048387096774,0.6381048387096774,0.6381048387096774
macro avg,0.5146614041629527,0.519848792698371,0.5167850882696119,1984.0
weighted avg,0.6296336175983172,0.6381048387096774,0.6334089669442917,1984.0
