,precision,recall,f1-score,support
bashlite,0.8949044585987261,0.9366666666666666,0.9153094462540716,300.0
encoder,0.24375,0.25161290322580643,0.2476190476190476,155.0
 gonnacry ,0.9901639344262295,1.0,0.9950576606260296,302.0
 goodware ,0.8974358974358975,0.877742946708464,0.8874801901743264,319.0
kisni,0.18543046357615894,0.17834394904458598,0.1818181818181818,157.0
mak,0.2689655172413793,0.24528301886792453,0.256578947368421,159.0
mirai,0.8350515463917526,0.8647686832740213,0.8496503496503497,281.0
snoopy,0.21518987341772153,0.21518987341772153,0.21518987341772153,158.0
wirenet,0.1554054054054054,0.1503267973856209,0.15282392026578073,153.0
accuracy,0.639616935483871,0.639616935483871,0.639616935483871,0.639616935483871
macro avg,0.5206996773881412,0.524437204287868,0.5223919574659921,1984.0
weighted avg,0.6329983662521855,0.639616935483871,0.6361203103131507,1984.0
