,precision,recall,f1-score,support
bashlite,0.89939,0.94551,0.92188,312.00000
encoder,0.41935,0.24224,0.30709,161.00000
 gonnacry ,0.99669,1.00000,0.99834,301.00000
 goodware ,0.62914,0.59375,0.61093,320.00000
kisni,0.22072,0.31210,0.25858,157.00000
mak,0.25833,0.20946,0.23134,148.00000
mirai,0.56173,0.62543,0.59187,291.00000
snoopy,0.26016,0.20253,0.22776,158.00000
wirenet,0.17647,0.22059,0.19608,136.00000
accuracy,0.57913,0.57913,0.57913,0.57913
macro avg,0.49133,0.48351,0.48265,1984.00000
weighted avg,0.58010,0.57913,0.57600,1984.00000
