,precision,recall,f1-score,support
bashlite,1.00000,1.00000,1.00000,312.00000
encoder,0.77528,0.85714,0.81416,161.00000
 gonnacry ,1.00000,1.00000,1.00000,301.00000
 goodware ,1.00000,1.00000,1.00000,320.00000
kisni,0.61404,0.66879,0.64024,157.00000
mak,0.77124,0.79730,0.78405,148.00000
mirai,1.00000,1.00000,1.00000,291.00000
snoopy,0.72263,0.62658,0.67119,158.00000
wirenet,0.62810,0.55882,0.59144,136.00000
accuracy,0.88710,0.88710,0.88710,0.88710
macro avg,0.83459,0.83429,0.83345,1984.00000
weighted avg,0.88657,0.88710,0.88615,1984.00000
