,precision,recall,f1-score,support
bashlite,0.90683,0.93590,0.92114,312.00000
encoder,0.41237,0.24845,0.31008,161.00000
 gonnacry ,0.99669,1.00000,0.99834,301.00000
 goodware ,0.60641,0.65000,0.62745,320.00000
kisni,0.16556,0.15924,0.16234,157.00000
mak,0.26316,0.27027,0.26667,148.00000
mirai,0.57244,0.55670,0.56446,291.00000
snoopy,0.27044,0.27215,0.27129,158.00000
wirenet,0.19429,0.25000,0.21865,136.00000
accuracy,0.57712,0.57712,0.57712,0.57712
macro avg,0.48758,0.48252,0.48227,1984.00000
weighted avg,0.57664,0.57712,0.57481,1984.00000
